work_id,mp_name,mp_house,constituency,state,district,block,village,implementing_agency,work_type,work_description,sanctioned_amount,released_amount,expenditure,balance_amount,work_status,recommendation_date,sanction_date,completion_date,financial_year,latitude,longitude,is_demo
MPLADS-2023-TA-0025,P. R. Natarajan,Lok Sabha,Coimbatore (Lok Sabha),Tamil Nadu,Coimbatore,Pollachi,Nehru Colony,Tamil Nadu PWD,Drinking Water RO Plant,Upgradation of pipeline distribution and drinking water storage tank at Nehru Colony,730000.0,548000.0,203000.0,345000.0,In Progress,2024-01-24,2024-03-02,,2023-24,10.97078,77.05156,True
MPLADS-2023-MA-0026,Hemant Godse,Lok Sabha,Nashik (Lok Sabha),Maharashtra,Nashik,Dindori,Subhash Nagar,Zilla Parishad Nashik,Community Hall,Development of public cultural center and community shed at Subhash Nagar,2490000.0,0.0,0.0,0.0,Sanctioned,2023-06-19,2023-07-30,,2023-24,20.08501,73.90409,True
MPLADS-2023-KA-0027,Prathap Simha,Lok Sabha,Mysore (Lok Sabha),Karnataka,Mysuru,Hunsur,Surya Nagar,PWD Mysuru,Rural Road & Culvert,Bituminous road widening and storm-water drainage culvert in Surya Nagar,3970000.0,3970000.0,3875000.0,95000.0,Completed,2023-08-15,2023-09-14,2024-03-19,2023-24,12.38512,76.72546,True
MPLADS-2023-KA-0028,D. K. Suresh,Lok Sabha,Bangalore Rural (Lok Sabha),Karnataka,Bangalore Rural,Nelamangala,Navi Vasti,Zilla Panchayat Bangalore Rural,Sanitation Facility / Public Toilet,Construction of community sanitary complex with bio-toilets for women at Navi Vasti,740000.0,740000.0,697000.0,43000.0,Completed,2023-07-08,2023-09-03,2023-10-21,2023-24,13.40465,77.49199,True
MPLADS-2023-WE-0029,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Chakdaha,Rampur,Zilla Parishad Nadia,Community Hall,Development of public cultural center and community shed at Rampur,1650000.0,1650000.0,1575000.0,75000.0,Completed,2023-04-20,2023-05-21,2023-12-07,2023-24,23.45573,88.67272,True
MPLADS-2023-MA-0030,Hemant Godse,Lok Sabha,Nashik (Lok Sabha),Maharashtra,Nashik,Trimbak,Adarsh Nagar,Zilla Parishad Nashik,Community Hall,Renovation and expansion of existing Gram Panchayat auditorium in Adarsh Nagar,2010000.0,2010000.0,1418000.0,592000.0,In Progress,2024-01-01,2024-02-18,,2023-24,19.92479,73.77331,True
MPLADS-2023-UT-0031,Rajnath Singh,Lok Sabha,Lucknow (Lok Sabha),Uttar Pradesh,Lucknow,Bakshi Ka Talab,Navi Vasti,PWD Lucknow,Solar Street Lighting,Erection of high-mast solar illumination tower near market square in Navi Vasti,880000.0,880000.0,326000.0,554000.0,In Progress,2023-10-24,2023-11-28,,2023-24,26.82761,81.05189,True
MPLADS-2023-KA-0032,Prathap Simha,Lok Sabha,Mysore (Lok Sabha),Karnataka,Mysuru,K.R. Nagar,Rampur,Mysore Urban Dev Authority,Rural Road & Culvert,Bituminous road widening and storm-water drainage culvert in Rampur,2370000.0,2370000.0,2264000.0,106000.0,Completed,2023-09-12,2023-11-03,2024-03-26,2023-24,12.29848,76.7099,True
MPLADS-2023-KA-0033,D. K. Suresh,Lok Sabha,Bangalore Rural (Lok Sabha),Karnataka,Bangalore Rural,Hosakote,Subhash Nagar,PWD Karnataka,Primary Health Sub-Center,Civil construction of primary wellness dispensary and staff quarters in Subhash Nagar,3310000.0,3310000.0,3098000.0,212000.0,Completed,2023-09-06,2023-10-06,2024-03-10,2023-24,13.18369,77.66114,True
MPLADS-2023-WE-0034,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Hanskhali,Shivaji Nagar,Zilla Parishad Nadia,Solar Street Lighting,Installation of 35 LED solar street lights across major junctions in Shivaji Nagar,920000.0,920000.0,857000.0,63000.0,Completed,2023-12-10,2024-01-18,2024-04-01,2023-24,23.35233,88.61673,True
MPLADS-2023-MA-0035,Hemant Godse,Lok Sabha,Nashik (Lok Sabha),Maharashtra,Nashik,Dindori,Nehru Colony,Zilla Parishad Nashik,Solar Street Lighting,Erection of high-mast solar illumination tower near market square in Nehru Colony,480000.0,480000.0,472000.0,8000.0,Completed,2023-06-02,2023-07-02,2023-09-12,2023-24,20.00497,73.80394,True
MPLADS-2023-UT-0036,Rajnath Singh,Lok Sabha,Lucknow (Lok Sabha),Uttar Pradesh,Lucknow,Mohanlalganj,Indira Nagar,PWD Lucknow,Drinking Water RO Plant,Upgradation of pipeline distribution and drinking water storage tank at Indira Nagar,1480000.0,1480000.0,670000.0,810000.0,In Progress,2023-08-11,2023-09-23,,2023-24,26.91334,80.9425,True
MPLADS-2023-KA-0037,Prathap Simha,Lok Sabha,Mysore (Lok Sabha),Karnataka,Mysuru,K.R. Nagar,Nehru Colony,PWD Mysuru,Rural Road & Culvert,Construction of cement concrete (CC) internal village road at Nehru Colony,2530000.0,2530000.0,2358000.0,172000.0,Completed,2024-01-02,2024-02-06,2024-08-12,2023-24,12.34235,76.68894,True
MPLADS-2023-MA-0038,Hemant Godse,Lok Sabha,Nashik (Lok Sabha),Maharashtra,Nashik,Niphad,Green Park,PWD Nashik,School Classroom & Infrastructure,Provision of modern science laboratory equipment and student desks at Green Park,1180000.0,590000.0,0.0,590000.0,Sanctioned,2023-10-17,2023-11-27,,2023-24,20.10455,73.67449,True
MPLADS-2023-WE-0039,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Hanskhali,Krishnapuram,WB PWD Nadia,Rural Road & Culvert,Bituminous road widening and storm-water drainage culvert in Krishnapuram,4100000.0,4100000.0,3034000.0,1066000.0,In Progress,2024-01-01,2024-02-11,,2023-24,23.56647,88.55368,True
MPLADS-2023-UT-0040,Rajnath Singh,Lok Sabha,Lucknow (Lok Sabha),Uttar Pradesh,Lucknow,Mohanlalganj,Gandhi Gram,Lucknow Development Authority,Rural Road & Culvert,Link road paving connecting main highway to agrarian hamlet of Gandhi Gram,3630000.0,1815000.0,1524000.0,291000.0,In Progress,2023-06-24,2023-08-03,,2023-24,26.85489,81.04386,True
MPLADS-2023-WE-0041,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Ranaghat-I,Kaveri Nagar,Public Health Engineering WB,Drinking Water RO Plant,Provision of deep borewell and solar powered community water kiosk in Kaveri Nagar,860000.0,860000.0,822000.0,38000.0,Completed,2023-10-12,2023-11-12,2024-02-08,2023-24,23.5337,88.52749,True
MPLADS-2023-TA-0042,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Madurai East,Rampur,PWD Water Resources,Primary Health Sub-Center,Civil construction of primary wellness dispensary and staff quarters in Rampur,2370000.0,2370000.0,763000.0,1607000.0,In Progress,2023-07-24,2023-08-30,,2023-24,9.81265,78.05915,True
MPLADS-2023-MA-0043,Nitin Gadkari,Lok Sabha,Nagpur (Lok Sabha),Maharashtra,Nagpur,Kamptee,Sundar Nagar,Nagpur Improvement Trust,School Classroom & Infrastructure,"Installation of rooftop solar panels and clean sanitation facility in Govt High School, Sundar Nagar",1250000.0,938000.0,368000.0,570000.0,In Progress,2023-11-25,2023-12-23,,2023-24,21.17154,79.1477,True
MPLADS-2023-MA-0044,Girish Bapat / Successor Rep,Lok Sabha,Pune (Lok Sabha),Maharashtra,Pune,Shirur,Patel Nagar,PWD Pune Division,Community Hall,Development of public cultural center and community shed at Patel Nagar,2210000.0,0.0,0.0,0.0,Sanctioned,2023-10-21,2023-11-29,,2023-24,18.41864,73.90245,True
MPLADS-2023-KA-0045,D. K. Suresh,Lok Sabha,Bangalore Rural (Lok Sabha),Karnataka,Bangalore Rural,Hosakote,Vikas Nagar,PWD Karnataka,Sanitation Facility / Public Toilet,Construction of community sanitary complex with bio-toilets for women at Vikas Nagar,1230000.0,1230000.0,1174000.0,56000.0,Completed,2023-04-22,2023-06-12,2023-09-07,2023-24,13.18915,77.58041,True
MPLADS-2023-MA-0046,Hemant Godse,Lok Sabha,Nashik (Lok Sabha),Maharashtra,Nashik,Niphad,Kaveri Nagar,Nashik Municipal Corp,Rural Road & Culvert,Link road paving connecting main highway to agrarian hamlet of Kaveri Nagar,4210000.0,4210000.0,4120000.0,90000.0,Completed,2023-06-18,2023-08-01,2024-01-07,2023-24,20.02532,73.89051,True
MPLADS-2023-TA-0047,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Thiruparankundram,Patel Nagar,District Rural Dev Agency,Rural Road & Culvert,Bituminous road widening and storm-water drainage culvert in Patel Nagar,4100000.0,0.0,0.0,0.0,Sanctioned,2023-08-21,2023-09-10,,2023-24,9.98531,78.13656,True
MPLADS-2023-TA-0048,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Madurai East,Hanuman Nagar,PWD Water Resources,Drinking Water RO Plant,Provision of deep borewell and solar powered community water kiosk in Hanuman Nagar,890000.0,890000.0,861000.0,29000.0,Completed,2023-09-22,2023-10-23,2024-01-11,2023-24,9.93859,78.12379,True
MPLADS-2023-KA-0049,D. K. Suresh,Lok Sabha,Bangalore Rural (Lok Sabha),Karnataka,Bangalore Rural,Doddaballapura,Kaveri Nagar,PWD Karnataka,School Classroom & Infrastructure,"Installation of rooftop solar panels and clean sanitation facility in Govt High School, Kaveri Nagar",2090000.0,1568000.0,857000.0,711000.0,In Progress,2023-11-30,2024-01-28,,2023-24,13.17674,77.49562,True
MPLADS-2023-TA-0050,P. R. Natarajan,Lok Sabha,Coimbatore (Lok Sabha),Tamil Nadu,Coimbatore,Mettupalayam,Patel Nagar,DRDA Coimbatore,Rural Road & Culvert,Bituminous road widening and storm-water drainage culvert in Patel Nagar,3290000.0,1645000.0,658000.0,987000.0,Stalled,2023-11-04,2023-12-11,,2023-24,11.02889,76.92023,True
MPLADS-2023-TA-0051,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Melur,Gopalganj,PWD Water Resources,Community Hall,Renovation and expansion of existing Gram Panchayat auditorium in Gopalganj,1670000.0,835000.0,0.0,835000.0,Sanctioned,2023-12-31,2024-01-22,,2023-24,9.84964,78.05173,True
MPLADS-2023-TA-0052,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Vadipatti,Vikas Nagar,District Rural Dev Agency,Rural Road & Culvert,Construction of cement concrete (CC) internal village road at Vikas Nagar,4050000.0,4050000.0,3824000.0,226000.0,Completed,2023-07-26,2023-08-28,2024-04-10,2023-24,9.83558,78.01072,True
MPLADS-2023-MA-0053,Nitin Gadkari,Lok Sabha,Nagpur (Lok Sabha),Maharashtra,Nagpur,Hingna,Sundar Nagar,Zilla Parishad Nagpur,Primary Health Sub-Center,"Supply of medical diagnostics, cold chain storage and OPD shed in Sundar Nagar",2540000.0,2540000.0,2434000.0,106000.0,Completed,2024-01-19,2024-02-03,2024-09-27,2023-24,21.07005,78.98053,True
MPLADS-2023-TA-0054,P. R. Natarajan,Lok Sabha,Coimbatore (Lok Sabha),Tamil Nadu,Coimbatore,Pollachi,Bhavani Peth,Coimbatore City Corp,Community Hall,Renovation and expansion of existing Gram Panchayat auditorium in Bhavani Peth,2280000.0,2280000.0,2200000.0,80000.0,Completed,2023-06-17,2023-07-05,2024-01-18,2023-24,10.91724,76.89537,True
MPLADS-2023-WE-0055,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Chakdaha,Vikas Nagar,Public Health Engineering WB,Drinking Water RO Plant,Upgradation of pipeline distribution and drinking water storage tank at Vikas Nagar,1040000.0,260000.0,0.0,260000.0,Sanctioned,2023-08-31,2023-10-13,,2023-24,23.42429,88.58555,True
MPLADS-2023-WE-0056,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Ranaghat-II,Kalyanpur,Public Health Engineering WB,Rural Road & Culvert,Link road paving connecting main highway to agrarian hamlet of Kalyanpur,2020000.0,1010000.0,304000.0,706000.0,In Progress,2023-06-28,2023-07-28,,2023-24,23.45912,88.57901,True
MPLADS-2023-UT-0057,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Arajiline,Nehru Colony,Rural Engineering Dept UP,Rural Road & Culvert,Link road paving connecting main highway to agrarian hamlet of Nehru Colony,4120000.0,2060000.0,0.0,2060000.0,Sanctioned,2023-07-29,2023-08-17,,2023-24,25.33915,83.04684,True
